apartment_name,ical_url
"At Home in Madrid I, Centro de Madrid",http://www.vrbo.com/icalendar/f41a3222d588406f9d774ecd3da31f25.ics
"At Home in Madrid II, Centro, Prado, Barrio Letras",http://www.vrbo.com/icalendar/d7c73585a2464aa5bd31647b25115491.ics
"At Home in Madrid III, Centro, Prado, BarrioLetras",http://www.vrbo.com/icalendar/43212c4c5c28482085f20e5d12576347.ics
"At Home in Madrid IV, Centro, Prado, Barrio Letras",http://www.vrbo.com/icalendar/8ec9c32fc0444388b9a74d101d57a4cf.ics?nonTentative
"At Home in Madrid V, Centro, Prado, Barrio Letras",http://www.vrbo.com/icalendar/fd7a450db1c74769990607bc252eee2b.ics?nonTentative
"At Home in Madrid VI, Centro, Prado, Barrio Letras",http://www.vrbo.com/icalendar/ab37b66988874e9ea6263d54893af728.ics?nonTentative
"At Home in Madrid VII, Trendy Neighborhood",http://www.vrbo.com/icalendar/c9b8f80cff364daeb523952f7cf965ba.ics?nonTentative
"At Home in Madrid VIII, Centro, Prado, Letras",http://www.vrbo.com/icalendar/c9b8f80cff364daeb523952f7cf965ba.ics?nonTentative
"At Home in Madrid IX, Trendy Chueca, Prado, GranVia",http://www.vrbo.com/icalendar/7e2c416ed9794ddcb9f51b53809f31f5.ics?nonTentative
"At Home in Madrid X, Center, Prado, Barrio Letras",http://www.vrbo.com/icalendar/676dd33c5fc7496191e6675612d7bbca.ics?nonTentative
